Unnamed: 0,Players,Result,Accuracy,Moves,Date,Unnamed: 6
1 min,dyako7  (1689)  rainebrookshire  (1729),1  0,Review,39,"May 30, 2023",
1 min,rainebrookshire  (1738)  2fated  (1697),1  0,Review,35,"May 29, 2023",
1 min,WFM  teacher4chess  (1787)  rainebrookshire  (1731),1  0,Review,39,"May 26, 2023",
1 min,Markant076  (1721)  rainebrookshire  (1738),1  0,Review,44,"May 26, 2023",
1 min,Fahrfirdausgantng  (1824)  rainebrookshire  (1747),½  ½,Review,47,"May 25, 2023",
1 min,rainebrookshire  (1745)  Pineugen19801  (1717),1  0,Review,39,"May 25, 2023",
1 min,sasagrobar72  (1755)  rainebrookshire  (1737),0  1,Review,41,"May 25, 2023",
1 min,rainebrookshire  (1728)  Mac_7592  (1710),1  0,Review,21,"May 25, 2023",
1 min,Skifus-s  (1770)  rainebrookshire  (1720),1  0,Review,23,"May 25, 2023",
1 min,rainebrookshire  (1727)  YahiaAlmozogi  (1742),1  0,Review,36,"May 25, 2023",
1 min,rainebrookshire  (1718)  stillwater_25  (1760),0  1,Review,17,"May 25, 2023",
1 min,rainebrookshire  (1725)  mfc08Nico  (1801),0  1,Review,53,"May 25, 2023",
1 min,wafflechip  (1687)  rainebrookshire  (1732),0  1,41.5  74.5,15,"May 24, 2023",
1 min,lightupmask  (1706)  rainebrookshire  (1725),0  1,Review,28,"May 24, 2023",
1 min,rainebrookshire  (1717)  RushGM1  (1720),0  1,Review,33,"May 24, 2023",
1 min,DerekGM  (1673)  rainebrookshire  (1725),0  1,Review,8,"May 24, 2023",
5 min,19alexey59  (1601)  rainebrookshire  (1628),1  0,Review,40,"May 22, 2023",
1 min,Lukkulukku  (1719)  rainebrookshire  (1718),½  ½,Review,54,"May 20, 2023",
1 min,rainebrookshire  (1718)  Elmar_AZE  (1776),0  1,Review,34,"May 20, 2023",
1 min,rainebrookshire  (1725)  d_hosh  (1602),0  1,Review,28,"May 18, 2023",
1 min,mygalperin  (1760)  rainebrookshire  (1736),½  ½,Review,66,"May 18, 2023",
1 min,ilu5ionist  (1764)  rainebrookshire  (1735),1  0,Review,39,"May 18, 2023",
1 min,rainebrookshire  (1743)  ilu5ionist  (1756),0  1,Review,40,"May 18, 2023",
1 min,rainebrookshire  (1751)  Andrerei  (1769),0  1,Review,34,"May 17, 2023",
1 min,rainebrookshire  (1759)  Hazard468  (1698),1  0,Review,73,"May 17, 2023",
1 min,Travllen  (1787)  rainebrookshire  (1752),1  0,Review,34,"May 17, 2023",
1 min,blligdashakh12  (1804)  rainebrookshire  (1760),1  0,Review,32,"May 17, 2023",
1 min,rainebrookshire  (1767)  chivaprieta  (1833),0  1,Review,26,"May 17, 2023",
1 min,rainebrookshire  (1774)  josito2121  (1798),0  1,Review,45,"May 16, 2023",
1 min,giri267  (1783)  rainebrookshire  (1782),1  0,Review,29,"May 16, 2023",
1 min,one_min_mania  (1821)  rainebrookshire  (1790),1  0,Review,29,"May 16, 2023",
1 min,s-mkrtchyan  (1802)  rainebrookshire  (1798),0  1,Review,47,"May 16, 2023",
1 min,rainebrookshire  (1789)  Edmon_A  (1801),0  1,Review,46,"May 16, 2023",
1 min,rainebrookshire  (1797)  jimmylama88  (1764),1  0,Review,23,"May 16, 2023",
1 min,LuanRupert  (1758)  rainebrookshire  (1789),0  1,Review,31,"May 16, 2023",
1 min,jackluzz  (1763)  rainebrookshire  (1781),0  1,Review,22,"May 16, 2023",
1 min,rainebrookshire  (1773)  shemi123  (1844),0  1,Review,27,"May 16, 2023",
1 min,LordAsrial  (1837)  rainebrookshire  (1780),1  0,Review,33,"May 16, 2023",
1 min,rainebrookshire  (1787)  adrian_lopero  (1710),1  0,Review,46,"May 16, 2023",
1 min,rainebrookshire  (1772)  WhyAreFlowersBlue  (1710),1  0,Review,33,"May 15, 2023",
1 min,rainebrookshire  (1765)  nobullnoble  (1744),1  0,Review,40,"May 15, 2023",
1 min,xoSanchezxo  (1707)  rainebrookshire  (1757),1  0,Review,44,"May 15, 2023",
1 min,dongnghi  (1892)  rainebrookshire  (1767),1  0,Review,58,"May 14, 2023",
1 min,rainebrookshire  (1772)  fesfiore  (1856),1  0,Review,46,"May 14, 2023",
1 min,rainebrookshire  (1762)  ironmich2025  (1804),½  ½,Review,57,"May 14, 2023",
1 min,Kirby694  (1748)  rainebrookshire  (1761),1  0,Review,28,"May 14, 2023",
1 min,kingforpawntrader  (1755)  rainebrookshire  (1770),1  0,Review,24,"May 14, 2023",
1 min,Car3001  (1761)  rainebrookshire  (1779),1  0,Review,29,"May 14, 2023",
1 min,rainebrookshire  (1788)  duvid1  (1850),0  1,70.3  80.1,30,"May 14, 2023",
1 min,KDK9105  (1798)  rainebrookshire  (1795),1  0,Review,44,"May 14, 2023",
